codigo,nombre,precio,existencia
7501055300075,Coca-Cola 600 ml,20.00,48
7501055310883,Coca-Cola 2 L,42.00,20
7501055365470,Coca-Cola 3 L,55.00,0
7501000111206,Galletas Marías Gamesa 170 g,18.50,30
7501030410683,Aceite Nutrioli 850 ml,48.00,15
7501058615039,Huevo blanco San Juan 12 pz,42.00,25
7501000613755,Pan Bimbo blanco grande,52.00,10
7501020515343,Leche Lala entera 1 L,29.50,40
7501008042564,Frijol negro Verde Valle 1 kg,38.00,18
7501052417116,Arroz Morelos Verde Valle 1 kg,33.00,22
7501032901011,Azúcar estándar 1 kg,32.00,30
7501003340344,Jabón Roma 1 kg,39.00,12
7501035911208,Papel higiénico Pétalo 4 rollos,34.00,20
7501000112111,Sabritas Original 45 g,19.00,35
7501011120045,Atún Dolores en agua 140 g,24.00,28
